"2010 SOC Code","2018 SOC Code","2018 Census Code","O*NET-SOC 2010 Code","O*NET-SOC 2010 Title","2010 SOC Title","2010 Census Title","2010 Census Code","2018 SOC Title","2018 Census Title","O.NET.SOC.2019.Code","O.NET.SOC.2019.Title","2018 STEM Category","education_stw_2010","knowledge_stw_2010","rothwell_stw_2010"
"47-2081","47-2081","6330","47-2081.00","Drywall and Ceiling Tile Installers","Drywall and Ceiling Tile Installers","Drywall installers, ceiling tile installers, and tapers","6330","Drywall and Ceiling Tile Installers","Drywall installers, ceiling tile installers, and tapers","47-2081.00","Drywall and Ceiling Tile Installers","Non-STEM","Yes","Yes","STW"
"47-2082","47-2082","6330","47-2082.00","Tapers","Tapers","Drywall installers, ceiling tile installers, and tapers","6330","Tapers","Drywall installers, ceiling tile installers, and tapers","47-2082.00","Tapers","Non-STEM","Yes","No","Non-STW"
"47-2111","47-2111","6355","47-2111.00","Electricians","Electricians","Electricians","6355","Electricians","Electricians","47-2111.00","Electricians","Non-STEM","Yes","Yes","STW"
"47-2121","47-2121","6360","47-2121.00","Glaziers","Glaziers","Glaziers","6360","Glaziers","Glaziers","47-2121.00","Glaziers","Non-STEM","Yes","Yes","STW"
"47-2131","47-2131","6400","47-2131.00","Insulation Workers, Floor, Ceiling, and Wall","Insulation Workers, Floor, Ceiling, and Wall","Insulation workers","6400","Insulation Workers, Floor, Ceiling, and Wall","Insulation workers","47-2131.00","Insulation Workers, Floor, Ceiling, and Wall","Non-STEM","Yes","No","Non-STW"
"47-2132","47-2132","6400","47-2132.00","Insulation Workers, Mechanical","Insulation Workers, Mechanical","Insulation workers","6400","Insulation Workers, Mechanical","Insulation workers","47-2132.00","Insulation Workers, Mechanical","Non-STEM","Yes","No","Non-STW"
"47-2141","47-2141","6410","47-2141.00","Painters, Construction and Maintenance","Painters, Construction and Maintenance","Painters, construction and maintenance","6420","Painters, Construction and Maintenance","Painters and paperhangers","47-2141.00","Painters, Construction and Maintenance","Non-STEM","Yes","No","Non-STW"
"47-2142","47-2142","6410","47-2142.00","Paperhangers","Paperhangers","Paperhangers","6430","Paperhangers","Painters and paperhangers","47-2142.00","Paperhangers","Non-STEM","Yes","No","Non-STW"
"47-2151","47-2151","6441","47-2151.00","Pipelayers","Pipelayers","Pipelayers, plumbers, pipefitters, and steamfitters","6440","Pipelayers","Pipelayers","47-2151.00","Pipelayers","Non-STEM","Yes","Yes","STW"
"47-2152","47-2152","6442","47-2152.01","Pipe Fitters and Steamfitters","Plumbers, Pipefitters, and Steamfitters","Pipelayers, plumbers, pipefitters, and steamfitters","6440","Plumbers, Pipefitters, and Steamfitters","Plumbers, pipefitters, and steamfitters","47-2152.00","Plumbers, Pipefitters, and Steamfitters","Non-STEM","Yes","Yes","STW"
"47-2152","47-2152","6442","47-2152.02","Plumbers","Plumbers, Pipefitters, and Steamfitters","Pipelayers, plumbers, pipefitters, and steamfitters","6440","Plumbers, Pipefitters, and Steamfitters","Plumbers, pipefitters, and steamfitters","47-2152.00","Plumbers, Pipefitters, and Steamfitters","Non-STEM","Yes","Yes","STW"
"47-2152","47-2152","6442","47-2152.00","Plumbers, Pipefitters, and Steamfitters","Plumbers, Pipefitters, and Steamfitters","Pipelayers, plumbers, pipefitters, and steamfitters","6440","Plumbers, Pipefitters, and Steamfitters","Plumbers, pipefitters, and steamfitters","47-2152.00","Plumbers, Pipefitters, and Steamfitters","Non-STEM","Yes","Yes","STW"
"47-2161","47-2161","6460","47-2161.00","Plasterers and Stucco Masons","Plasterers and Stucco Masons","Plasterers and stucco masons","6460","Plasterers and Stucco Masons","Plasterers and stucco masons","47-2161.00","Plasterers and Stucco Masons","Non-STEM","Yes","No","Non-STW"
"47-2171","47-2171","6500","47-2171.00","Reinforcing Iron and Rebar Workers","Reinforcing Iron and Rebar Workers","Reinforcing iron and rebar workers","6500","Reinforcing Iron and Rebar Workers","Reinforcing iron and rebar workers","47-2171.00","Reinforcing Iron and Rebar Workers","Non-STEM","Yes","Yes","STW"
"47-2181","47-2181","6515","47-2181.00","Roofers","Roofers","Roofers","6515","Roofers","Roofers","47-2181.00","Roofers","Non-STEM","Yes","Yes","STW"
"47-2211","47-2211","6520","47-2211.00","Sheet Metal Workers","Sheet Metal Workers","Sheet metal workers","6520","Sheet Metal Workers","Sheet metal workers","47-2211.00","Sheet Metal Workers","Non-STEM","Yes","No","Non-STW"
"47-2221","47-2221","6530","47-2221.00","Structural Iron and Steel Workers","Structural Iron and Steel Workers","Structural iron and steel workers","6530","Structural Iron and Steel Workers","Structural iron and steel workers","47-2221.00","Structural Iron and Steel Workers","Non-STEM","Yes","Yes","STW"
"47-2231","47-2231","6540","47-2231.00","Solar Photovoltaic Installers","Solar Photovoltaic Installers","Solar photovoltaic installers","6540","Solar Photovoltaic Installers","Solar photovoltaic installers","47-2231.00","Solar Photovoltaic Installers","Non-STEM","Yes","Yes","STW"
"47-3011","47-3011","6600","47-3011.00","Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters","Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters","Helpers, construction trades","6600","Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters","Helpers, construction trades","47-3011.00","Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters","Non-STEM","Yes","Yes","STW"
"47-3012","47-3012","6600","47-3012.00","Helpers--Carpenters","Helpers--Carpenters","Helpers, construction trades","6600","Helpers--Carpenters","Helpers, construction trades","47-3012.00","Helpers--Carpenters","Non-STEM","Yes","Yes","STW"
"47-3013","47-3013","6600","47-3013.00","Helpers--Electricians","Helpers--Electricians","Helpers, construction trades","6600","Helpers--Electricians","Helpers, construction trades","47-3013.00","Helpers--Electricians","Non-STEM","Yes","Yes","STW"
"47-3014","47-3014","6600","47-3014.00","Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons","Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons","Helpers, construction trades","6600","Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons","Helpers, construction trades","47-3014.00","Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons","Non-STEM","Yes","No","Non-STW"
"47-3015","47-3015","6600","47-3015.00","Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters","Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters","Helpers, construction trades","6600","Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters","Helpers, construction trades","47-3015.00","Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters","Non-STEM","Yes","Yes","STW"
"47-3016","47-3016","6600","47-3016.00","Helpers--Roofers","Helpers--Roofers","Helpers, construction trades","6600","Helpers--Roofers","Helpers, construction trades","47-3016.00","Helpers--Roofers","Non-STEM","Yes","No","Non-STW"
"47-3019","47-3019","6600","47-3019.00","Helpers, Construction Trades, All Other","Helpers, Construction Trades, All Other","Helpers, construction trades","6600","Helpers, Construction Trades, All Other","Helpers, construction trades","47-3019.00","Helpers, Construction Trades, All Other","Non-STEM",NA,NA,NA
"47-4011","47-4011","6660","47-4011.00","Construction and Building Inspectors","Construction and Building Inspectors","Construction and building inspectors","6660","Construction and Building Inspectors","Construction and building inspectors","47-4011.00","Construction and Building Inspectors","Non-STEM","Yes","Yes","STW"
"47-4021","47-4021","6700","47-4021.00","Elevator Installers and Repairers","Elevator Installers and Repairers","Elevator installers and repairers","6700","Elevator and Escalator Installers and Repairers","Elevator and escalator installers and repairers","47-4021.00","Elevator and Escalator Installers and Repairers","Non-STEM","Yes","Yes","STW"
"47-4031","47-4031","6710","47-4031.00","Fence Erectors","Fence Erectors","Fence erectors","6710","Fence Erectors","Fence erectors","47-4031.00","Fence Erectors","Non-STEM","Yes","No","Non-STW"
"47-4041","47-4041","6720","47-4041.00","Hazardous Materials Removal Workers","Hazardous Materials Removal Workers","Hazardous materials removal workers","6720","Hazardous Materials Removal Workers","Hazardous materials removal workers","47-4041.00","Hazardous Materials Removal Workers","Non-STEM","Yes","No","Non-STW"
"47-4051","47-4051","6730","47-4051.00","Highway Maintenance Workers","Highway Maintenance Workers","Highway maintenance workers","6730","Highway Maintenance Workers","Highway maintenance workers","47-4051.00","Highway Maintenance Workers","Non-STEM","Yes","No","Non-STW"
"47-4061","47-4061","6740","47-4061.00","Rail-Track Laying and Maintenance Equipment Operators","Rail-Track Laying and Maintenance Equipment Operators","Rail-track laying and maintenance equipment operators","6740","Rail-Track Laying and Maintenance Equipment Operators","Rail-track laying and maintenance equipment operators","47-4061.00","Rail-Track Laying and Maintenance Equipment Operators","Non-STEM","Yes","No","Non-STW"
"47-4071","47-4071","6750","47-4071.00","Septic Tank Servicers and Sewer Pipe Cleaners","Septic Tank Servicers and Sewer Pipe Cleaners","Septic tank servicers and sewer pipe cleaners","6750","Septic Tank Servicers and Sewer Pipe Cleaners","Septic tank servicers and sewer pipe cleaners","47-4071.00","Septic Tank Servicers and Sewer Pipe Cleaners","Non-STEM","Yes","No","Non-STW"
"47-4091","47-4091","6765","47-4091.00","Segmental Pavers","Segmental Pavers","Miscellaneous construction and related workers","6765","Segmental Pavers","Miscellaneous construction and related workers","47-4091.00","Segmental Pavers","Non-STEM","Yes","No","Non-STW"
"47-4099","47-4099","6765","47-4099.00","Construction and Related Workers, All Other","Construction and Related Workers, All Other","Miscellaneous construction and related workers","6765","Construction and Related Workers, All Other","Miscellaneous construction and related workers","47-4099.00","Construction and Related Workers, All Other","Non-STEM","Yes","Yes","STW"
"47-4099","47-4099","6765","47-4099.02","Solar Thermal Installers and Technicians","Construction and Related Workers, All Other","Miscellaneous construction and related workers","6765","Construction and Related Workers, All Other","Miscellaneous construction and related workers","47-2152.04","Solar Thermal Installers and Technicians","Non-STEM","Yes","Yes","STW"
"47-4099","47-4099","6765","47-4099.03","Weatherization Installers and Technicians","Construction and Related Workers, All Other","Miscellaneous construction and related workers","6765","Construction and Related Workers, All Other","Miscellaneous construction and related workers","47-4099.03","Weatherization Installers and Technicians","Non-STEM","Yes","Yes","STW"
"47-5011","47-5011","6800","47-5011.00","Derrick Operators, Oil and Gas","Derrick Operators, Oil and Gas","Derrick, rotary drill, and service unit operators, oil, gas, and mining","6800","Derrick Operators, Oil and Gas","Derrick, rotary drill, and service unit operators, oil and gas","47-5011.00","Derrick Operators, Oil and Gas","Non-STEM","Yes","Yes","STW"
"47-5012","47-5012","6800","47-5012.00","Rotary Drill Operators, Oil and Gas","Rotary Drill Operators, Oil and Gas","Derrick, rotary drill, and service unit operators, oil, gas, and mining","6800","Rotary Drill Operators, Oil and Gas","Derrick, rotary drill, and service unit operators, oil and gas","47-5012.00","Rotary Drill Operators, Oil and Gas","Non-STEM","Yes","Yes","STW"
"47-5013","47-5013","6800","47-5013.00","Service Unit Operators, Oil, Gas, and Mining","Service Unit Operators, Oil, Gas, and Mining","Derrick, rotary drill, and service unit operators, oil, gas, and mining","6800","Service Unit Operators, Oil and Gas","Derrick, rotary drill, and service unit operators, oil and gas","47-5013.00","Service Unit Operators, Oil and Gas","Non-STEM","Yes","Yes","STW"
"47-5021","47-5032","6835","47-5021.00","Earth Drillers, Except Oil and Gas","Earth Drillers, Except Oil and Gas","Earth drillers, except oil and gas","6820","Explosives Workers, Ordnance Handling Experts, and Blasters","Explosives workers, ordnance handling experts, and blasters","47-5032.00","Explosives Workers, Ordnance Handling Experts, and Blasters","Non-STEM","Yes","Yes","STW"
"47-5021","47-5023","6825","47-5021.00","Earth Drillers, Except Oil and Gas","Earth Drillers, Except Oil and Gas","Earth drillers, except oil and gas","6820","Earth Drillers, Except Oil and Gas","Earth drillers, except oil and gas","47-5032.00","Explosives Workers, Ordnance Handling Experts, and Blasters","Non-STEM","Yes","Yes","STW"
"47-5021","47-5023","6825","47-5021.00","Earth Drillers, Except Oil and Gas","Earth Drillers, Except Oil and Gas","Earth drillers, except oil and gas","6820","Earth Drillers, Except Oil and Gas","Earth drillers, except oil and gas","47-5023.00","Earth Drillers, Except Oil and Gas","Non-STEM","Yes","Yes","STW"
"47-5021","47-5032","6835","47-5021.00","Earth Drillers, Except Oil and Gas","Earth Drillers, Except Oil and Gas","Earth drillers, except oil and gas","6820","Explosives Workers, Ordnance Handling Experts, and Blasters","Explosives workers, ordnance handling experts, and blasters","47-5023.00","Earth Drillers, Except Oil and Gas","Non-STEM","Yes","Yes","STW"
"47-5031","47-5032","6835","47-5031.00","Explosives Workers, Ordnance Handling Experts, and Blasters","Explosives Workers, Ordnance Handling Experts, and Blasters","Explosives workers, ordnance handling experts, and blasters","6830","Explosives Workers, Ordnance Handling Experts, and Blasters","Explosives workers, ordnance handling experts, and blasters","47-5032.00","Explosives Workers, Ordnance Handling Experts, and Blasters","Non-STEM","Yes","No","Non-STW"
"47-5041","47-5041","6850","47-5041.00","Continuous Mining Machine Operators","Continuous Mining Machine Operators","Mining machine operators","6840","Continuous Mining Machine Operators","Underground mining machine operators","47-5041.00","Continuous Mining Machine Operators","Non-STEM","Yes","Yes","STW"
"47-5042","47-5049","6850","47-5042.00","Mine Cutting and Channeling Machine Operators","Mine Cutting and Channeling Machine Operators","Mining machine operators","6840","Underground Mining Machine Operators, All Other","Underground mining machine operators","47-5049.00","Underground Mining Machine Operators, All Other","Non-STEM","Yes","No","Non-STW"
"47-5049","47-5049","6850","47-5049.00","Mining Machine Operators, All Other","Mining Machine Operators, All Other","Mining machine operators","6840","Underground Mining Machine Operators, All Other","Underground mining machine operators","47-5049.00","Underground Mining Machine Operators, All Other","Non-STEM",NA,NA,NA
"47-5049","47-5049","6850","47-5049.00","Mining Machine Operators, All Other","Mining Machine Operators, All Other","Mining machine operators","6840","Underground Mining Machine Operators, All Other","Underground mining machine operators","47-5099.00","Extraction Workers, All Other","Non-STEM",NA,NA,NA
"47-5049","47-5099","6950","47-5049.00","Mining Machine Operators, All Other","Mining Machine Operators, All Other","Mining machine operators","6840","Extraction Workers, All Other","Other extraction workers","47-5049.00","Underground Mining Machine Operators, All Other","Non-STEM",NA,NA,NA
"47-5049","47-5099","6950","47-5049.00","Mining Machine Operators, All Other","Mining Machine Operators, All Other","Mining machine operators","6840","Extraction Workers, All Other","Other extraction workers","47-5099.00","Extraction Workers, All Other","Non-STEM",NA,NA,NA
"47-5051","47-5051","6950","47-5051.00","Rock Splitters, Quarry","Rock Splitters, Quarry","Other extraction workers","6940","Rock Splitters, Quarry","Other extraction workers","47-5051.00","Rock Splitters, Quarry","Non-STEM","Yes","No","Non-STW"
"47-5061","47-5043","6850","47-5061.00","Roof Bolters, Mining","Roof Bolters, Mining","Roof bolters, mining","6910","Roof Bolters, Mining","Underground mining machine operators","47-5043.00","Roof Bolters, Mining","Non-STEM","Yes","No","Non-STW"
"47-5071","47-5071","6920","47-5071.00","Roustabouts, Oil and Gas","Roustabouts, Oil and Gas","Roustabouts, oil and gas","6920","Roustabouts, Oil and Gas","Roustabouts, oil and gas","47-5071.00","Roustabouts, Oil and Gas","Non-STEM","Yes","No","Non-STW"
"47-5081","47-5081","6950","47-5081.00","Helpers--Extraction Workers","Helpers--Extraction Workers","Helpers--extraction workers","6930","Helpers--Extraction Workers","Other extraction workers","47-5081.00","Helpers--Extraction Workers","Non-STEM","Yes","No","Non-STW"
"47-5099","47-5099","6950","47-5099.00","Extraction Workers, All Other","Extraction Workers, All Other","Other extraction workers","6940","Extraction Workers, All Other","Other extraction workers","47-5099.00","Extraction Workers, All Other","Non-STEM",NA,NA,NA
"49-1011","49-1011","7000","49-1011.00","First-Line Supervisors of Mechanics, Installers, and Repairers","First-Line Supervisors of Mechanics, Installers, and Repairers","First-line supervisors of mechanics, installers, and repairers","7000","First-Line Supervisors of Mechanics, Installers, and Repairers","First-line supervisors of mechanics, installers, and repairers","49-1011.00","First-Line Supervisors of Mechanics, Installers, and Repairers","Non-STEM","Yes","Yes","STW"
"49-2011","49-2011","7010","49-2011.00","Computer, Automated Teller, and Office Machine Repairers","Computer, Automated Teller, and Office Machine Repairers","Computer, automated teller, and office machine repairers","7010","Computer, Automated Teller, and Office Machine Repairers","Computer, automated teller, and office machine repairers","49-2011.00","Computer, Automated Teller, and Office Machine Repairers","Non-STEM","Yes","Yes","STW"
"49-2021","49-2021","7020","49-2021.01","Radio Mechanics","Radio, Cellular, and Tower Equipment Installers and Repairers","Radio and telecommunications equipment installers and repairers","7020","Radio, Cellular, and Tower Equipment Installers and Repairers","Radio and telecommunications equipment installers and repairers","49-2021.00","Radio, Cellular, and Tower Equipment Installers and Repairers","Non-STEM","Yes","Yes","STW"
"49-2021","49-2021","7020","49-2021.00","Radio, Cellular, and Tower Equipment Installers and Repairers","Radio, Cellular, and Tower Equipment Installers and Repairers","Radio and telecommunications equipment installers and repairers","7020","Radio, Cellular, and Tower Equipment Installers and Repairers","Radio and telecommunications equipment installers and repairers","49-2021.00","Radio, Cellular, and Tower Equipment Installers and Repairers","Non-STEM","Yes","Yes","STW"
"49-2022","49-2022","7020","49-2022.00","Telecommunications Equipment Installers and Repairers, Except Line Installers","Telecommunications Equipment Installers and Repairers, Except Line Installers","Radio and telecommunications equipment installers and repairers","7020","Telecommunications Equipment Installers and Repairers, Except Line Installers","Radio and telecommunications equipment installers and repairers","49-2022.00","Telecommunications Equipment Installers and Repairers, Except Line Installers","Non-STEM","Yes","Yes","STW"
"49-2091","49-2091","7030","49-2091.00","Avionics Technicians","Avionics Technicians","Avionics technicians","7030","Avionics Technicians","Avionics technicians","49-2091.00","Avionics Technicians","Non-STEM","Yes","Yes","STW"
"49-2092","49-2092","7040","49-2092.00","Electric Motor, Power Tool, and Related Repairers","Electric Motor, Power Tool, and Related Repairers","Electric motor, power tool, and related repairers","7040","Electric Motor, Power Tool, and Related Repairers","Electric motor, power tool, and related repairers","49-2092.00","Electric Motor, Power Tool, and Related Repairers","Non-STEM","Yes","Yes","STW"
"49-2093","49-2093","7050","49-2093.00","Electrical and Electronics Installers and Repairers, Transportation Equipment","Electrical and Electronics Installers and Repairers, Transportation Equipment","Electrical and electronics installers and repairers, transportation equipment","7050","Electrical and Electronics Installers and Repairers, Transportation Equipment","Electrical and electronics installers and repairers, transportation equipment","49-2093.00","Electrical and Electronics Installers and Repairers, Transportation Equipment","Non-STEM","Yes","Yes","STW"
"49-2094","49-2094","7100","49-2094.00","Electrical and Electronics Repairers, Commercial and Industrial Equipment","Electrical and Electronics Repairers, Commercial and Industrial Equipment","Electrical and electronics repairers, industrial and utility","7100","Electrical and Electronics Repairers, Commercial and Industrial Equipment","Electrical and electronics repairers, industrial and utility","49-2094.00","Electrical and Electronics Repairers, Commercial and Industrial Equipment","Non-STEM","Yes","Yes","STW"
"49-2095","49-2095","7100","49-2095.00","Electrical and Electronics Repairers, Powerhouse, Substation, and Relay","Electrical and Electronics Repairers, Powerhouse, Substation, and Relay","Electrical and electronics repairers, industrial and utility","7100","Electrical and Electronics Repairers, Powerhouse, Substation, and Relay","Electrical and electronics repairers, industrial and utility","49-2095.00","Electrical and Electronics Repairers, Powerhouse, Substation, and Relay","Non-STEM","Yes","Yes","STW"
"49-2096","49-2096","7110","49-2096.00","Electronic Equipment Installers and Repairers, Motor Vehicles","Electronic Equipment Installers and Repairers, Motor Vehicles","Electronic equipment installers and repairers, motor vehicles","7110","Electronic Equipment Installers and Repairers, Motor Vehicles","Electronic equipment installers and repairers, motor vehicles","49-2096.00","Electronic Equipment Installers and Repairers, Motor Vehicles","Non-STEM","Yes","Yes","STW"
"49-2097","49-2097","7120","49-2097.00","Electronic Home Entertainment Equipment Installers and Repairers","Electronic Home Entertainment Equipment Installers and Repairers","Electronic home entertainment equipment installers and repairers","7120","Audiovisual Equipment Installers and Repairers","Audiovisual equipment installers and repairers","49-2097.00","Audiovisual Equipment Installers and Repairers","Non-STEM","Yes","Yes","STW"
"49-2098","49-2098","7130","49-2098.00","Security and Fire Alarm Systems Installers","Security and Fire Alarm Systems Installers","Security and fire alarm systems installers","7130","Security and Fire Alarm Systems Installers","Security and fire alarm systems installers","49-2098.00","Security and Fire Alarm Systems Installers","Non-STEM","Yes","Yes","STW"
"49-3011","49-3011","7140","49-3011.00","Aircraft Mechanics and Service Technicians","Aircraft Mechanics and Service Technicians","Aircraft mechanics and service technicians","7140","Aircraft Mechanics and Service Technicians","Aircraft mechanics and service technicians","49-3011.00","Aircraft Mechanics and Service Technicians","Non-STEM","Yes","Yes","STW"
"49-3021","49-3021","7150","49-3021.00","Automotive Body and Related Repairers","Automotive Body and Related Repairers","Automotive body and related repairers","7150","Automotive Body and Related Repairers","Automotive body and related repairers","49-3021.00","Automotive Body and Related Repairers","Non-STEM","Yes","No","Non-STW"
"49-3022","49-3022","7160","49-3022.00","Automotive Glass Installers and Repairers","Automotive Glass Installers and Repairers","Automotive glass installers and repairers","7160","Automotive Glass Installers and Repairers","Automotive glass installers and repairers","49-3022.00","Automotive Glass Installers and Repairers","Non-STEM","Yes","No","Non-STW"
"49-3023","49-3023","7200","49-3023.02","Automotive Specialty Technicians","Automotive Service Technicians and Mechanics","Automotive service technicians and mechanics","7200","Automotive Service Technicians and Mechanics","Automotive service technicians and mechanics","49-3023.00","Automotive Service Technicians and Mechanics","Non-STEM","Yes","Yes","STW"
"49-3023","49-3023","7200","49-3023.01","Automotive Master Mechanics","Automotive Service Technicians and Mechanics","Automotive service technicians and mechanics","7200","Automotive Service Technicians and Mechanics","Automotive service technicians and mechanics","49-3023.00","Automotive Service Technicians and Mechanics","Non-STEM","Yes","Yes","STW"
"49-3023","49-3023","7200","49-3023.00","Automotive Service Technicians and Mechanics","Automotive Service Technicians and Mechanics","Automotive service technicians and mechanics","7200","Automotive Service Technicians and Mechanics","Automotive service technicians and mechanics","49-3023.00","Automotive Service Technicians and Mechanics","Non-STEM","Yes","Yes","STW"
"49-3031","49-3031","7210","49-3031.00","Bus and Truck Mechanics and Diesel Engine Specialists","Bus and Truck Mechanics and Diesel Engine Specialists","Bus and truck mechanics and diesel engine specialists","7210","Bus and Truck Mechanics and Diesel Engine Specialists","Bus and truck mechanics and diesel engine specialists","49-3031.00","Bus and Truck Mechanics and Diesel Engine Specialists","Non-STEM","Yes","Yes","STW"
"49-3041","49-3041","7220","49-3041.00","Farm Equipment Mechanics and Service Technicians","Farm Equipment Mechanics and Service Technicians","Heavy vehicle and mobile equipment service technicians and mechanics","7220","Farm Equipment Mechanics and Service Technicians","Heavy vehicle and mobile equipment service technicians and mechanics","49-3041.00","Farm Equipment Mechanics and Service Technicians","Non-STEM","Yes","Yes","STW"
"49-3042","49-3042","7220","49-3042.00","Mobile Heavy Equipment Mechanics, Except Engines","Mobile Heavy Equipment Mechanics, Except Engines","Heavy vehicle and mobile equipment service technicians and mechanics","7220","Mobile Heavy Equipment Mechanics, Except Engines","Heavy vehicle and mobile equipment service technicians and mechanics","49-3042.00","Mobile Heavy Equipment Mechanics, Except Engines","Non-STEM","Yes","Yes","STW"
"49-3043","49-3043","7220","49-3043.00","Rail Car Repairers","Rail Car Repairers","Heavy vehicle and mobile equipment service technicians and mechanics","7220","Rail Car Repairers","Heavy vehicle and mobile equipment service technicians and mechanics","49-3043.00","Rail Car Repairers","Non-STEM","Yes","Yes","STW"
"49-3051","49-3051","7240","49-3051.00","Motorboat Mechanics and Service Technicians","Motorboat Mechanics and Service Technicians","Small engine mechanics","7240","Motorboat Mechanics and Service Technicians","Small engine mechanics","49-3051.00","Motorboat Mechanics and Service Technicians","Non-STEM","Yes","Yes","STW"
"49-3052","49-3052","7240","49-3052.00","Motorcycle Mechanics","Motorcycle Mechanics","Small engine mechanics","7240","Motorcycle Mechanics","Small engine mechanics","49-3052.00","Motorcycle Mechanics","Non-STEM","Yes","Yes","STW"
"49-3053","49-3053","7240","49-3053.00","Outdoor Power Equipment and Other Small Engine Mechanics","Outdoor Power Equipment and Other Small Engine Mechanics","Small engine mechanics","7240","Outdoor Power Equipment and Other Small Engine Mechanics","Small engine mechanics","49-3053.00","Outdoor Power Equipment and Other Small Engine Mechanics","Non-STEM","Yes","Yes","STW"
"49-3091","49-3091","7260","49-3091.00","Bicycle Repairers","Bicycle Repairers","Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers","7260","Bicycle Repairers","Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers","49-3091.00","Bicycle Repairers","Non-STEM","Yes","Yes","STW"
"49-3092","49-3092","7260","49-3092.00","Recreational Vehicle Service Technicians","Recreational Vehicle Service Technicians","Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers","7260","Recreational Vehicle Service Technicians","Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers","49-3092.00","Recreational Vehicle Service Technicians","Non-STEM","Yes","Yes","STW"
"49-3093","49-3093","7260","49-3093.00","Tire Repairers and Changers","Tire Repairers and Changers","Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers","7260","Tire Repairers and Changers","Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers","49-3093.00","Tire Repairers and Changers","Non-STEM","Yes","No","Non-STW"
"49-9011","49-9011","7300","49-9011.00","Mechanical Door Repairers","Mechanical Door Repairers","Control and valve installers and repairers","7300","Mechanical Door Repairers","Control and valve installers and repairers","49-9011.00","Mechanical Door Repairers","Non-STEM","Yes","Yes","STW"
"49-9012","49-9012","7300","49-9012.00","Control and Valve Installers and Repairers, Except Mechanical Door","Control and Valve Installers and Repairers, Except Mechanical Door","Control and valve installers and repairers","7300","Control and Valve Installers and Repairers, Except Mechanical Door","Control and valve installers and repairers","49-9012.00","Control and Valve Installers and Repairers, Except Mechanical Door","Non-STEM","Yes","Yes","STW"
"49-9021","49-9021","7315","49-9021.02","Refrigeration Mechanics and Installers","Heating, Air Conditioning, and Refrigeration Mechanics and Installers","Heating, air conditioning, and refrigeration mechanics and installers","7315","Heating, Air Conditioning, and Refrigeration Mechanics and Installers","Heating, air conditioning, and refrigeration mechanics and installers","49-9021.00","Heating, Air Conditioning, and Refrigeration Mechanics and Installers","Non-STEM","Yes","Yes","STW"
"49-9021","49-9021","7315","49-9021.00","Heating, Air Conditioning, and Refrigeration Mechanics and Installers","Heating, Air Conditioning, and Refrigeration Mechanics and Installers","Heating, air conditioning, and refrigeration mechanics and installers","7315","Heating, Air Conditioning, and Refrigeration Mechanics and Installers","Heating, air conditioning, and refrigeration mechanics and installers","49-9021.00","Heating, Air Conditioning, and Refrigeration Mechanics and Installers","Non-STEM","Yes","Yes","STW"
"49-9021","49-9021","7315","49-9021.01","Heating and Air Conditioning Mechanics and Installers","Heating, Air Conditioning, and Refrigeration Mechanics and Installers","Heating, air conditioning, and refrigeration mechanics and installers","7315","Heating, Air Conditioning, and Refrigeration Mechanics and Installers","Heating, air conditioning, and refrigeration mechanics and installers","49-9021.00","Heating, Air Conditioning, and Refrigeration Mechanics and Installers","Non-STEM","Yes","Yes","STW"
"49-9031","49-9031","7320","49-9031.00","Home Appliance Repairers","Home Appliance Repairers","Home appliance repairers","7320","Home Appliance Repairers","Home appliance repairers","49-9031.00","Home Appliance Repairers","Non-STEM","Yes","No","Non-STW"
"49-9041","49-9041","7330","49-9041.00","Industrial Machinery Mechanics","Industrial Machinery Mechanics","Industrial and refractory machinery mechanics","7330","Industrial Machinery Mechanics","Industrial and refractory machinery mechanics","49-9041.00","Industrial Machinery Mechanics","Non-STEM","Yes","Yes","STW"
"49-9043","49-9043","7350","49-9043.00","Maintenance Workers, Machinery","Maintenance Workers, Machinery","Maintenance workers, machinery","7350","Maintenance Workers, Machinery","Maintenance workers, machinery","49-9043.00","Maintenance Workers, Machinery","Non-STEM","Yes","Yes","STW"
"49-9044","49-9044","7360","49-9044.00","Millwrights","Millwrights","Millwrights","7360","Millwrights","Millwrights","49-9044.00","Millwrights","Non-STEM","Yes","Yes","STW"
